wavelengh nm	,	photon flux /m2/nm/s
1283	,	2.73453E+27
1284	,	2.71735E+27
1285	,	2.66147E+27
1286	,	2.40558E+27
1287	,	2.6269E+27
1288	,	2.71938E+27
1289	,	2.74089E+27
1290	,	2.76243E+27
1291	,	2.73221E+27
1292	,	2.72137E+27
1293	,	2.65216E+27
1294	,	2.68017E+27
1295	,	2.71472E+27
1296	,	2.57383E+27
1297	,	2.6864E+27
1298	,	2.62989E+27
1299	,	2.63844E+27
1300	,	2.54268E+27
1301	,	2.42068E+27
1302	,	2.55967E+27
1303	,	2.67273E+27
1304	,	2.30856E+27
1305	,	2.36924E+27
1306	,	2.56756E+27
1307	,	2.268E+27
1308	,	1.97454E+27
1309	,	2.52095E+27
1310	,	2.52945E+27
1311	,	2.01196E+27
1312	,	2.28328E+27
1313	,	2.52868E+27
1314	,	1.98363E+27
1315	,	2.20278E+27
1316	,	2.19786E+27
1317	,	2.07404E+27
1318	,	1.90375E+27
1319	,	1.89197E+27
1320	,	2.14498E+27
1321	,	2.06711E+27
1322	,	2.20792E+27
1323	,	1.78492E+27
1324	,	1.71987E+27
1325	,	1.98699E+27
1326	,	2.00845E+27
1327	,	1.55074E+27
1328	,	1.74507E+27
1329	,	2.14632E+27
1330	,	1.87444E+27
1331	,	1.77572E+27
1332	,	1.56996E+27
1333	,	1.19006E+27
1334	,	1.53218E+27
1335	,	9.70887E+26
1336	,	9.78317E+26
1337	,	1.36128E+27
1338	,	1.13414E+27
1339	,	1.55137E+27
1340	,	1.22993E+27
1341	,	1.10978E+27
1342	,	1.19812E+27
1343	,	1.19228E+27
1344	,	1.1325E+27
1345	,	1.14683E+27
1346	,	1.2017E+27
1347	,	8.5803E+26
1348	,	5.11145E+26
1349	,	7.37516E+26
1350	,	3.94086E+26
1351	,	4.07253E+26
1352	,	3.22111E+25
1353	,	1.09938E+26
1354	,	1.08662E+26
1355	,	3.14673E+25
1356	,	1.03382E+25
1357	,	6.541E+23
1358	,	1.97533E+24
1359	,	2.45394E+22
1360	,	3.28116E+23
1361	,	4.90148E+23
1362	,	2.86244E+22
1363	,	5.01809E+21
1364	,	1.46412E+22
1365	,	3.29326E+19
1366	,	1.24016E+17
1367	,	2.16673E+22
1368	,	9.33203E+21
1369	,	6.23507E+16
1370	,	8.79596E+22
1371	,	3.42468E+22
1372	,	1.01852E+15
1373	,	3.56055E+21
1374	,	2.01245E+21
1375	,	1.35871E+20
1376	,	1.89806E+22
1377	,	3.06673E+23
1378	,	1.23726E+24
1379	,	2.23423E+24
1380	,	1.77899E+24
1381	,	8.52043E+23
1382	,	7.69476E+24
1383	,	3.62124E+23
1384	,	5.6649E+23
1385	,	1.64651E+22
1386	,	1.78675E+22
1387	,	3.06124E+20
1388	,	4.2958E+21
1389	,	1.45619E+22
1390	,	1.75706E+22
1391	,	1.38852E+24
1392	,	2.81396E+22
1393	,	4.05977E+24
1394	,	3.44734E+24
1395	,	2.40718E+24
1396	,	1.66663E+23
1397	,	8.1289E+23
1398	,	5.29459E+23
1399	,	4.7089E+21
1400	,	4.43839E+19
1401	,	3.45065E+23
1402	,	8.93169E+24
1403	,	5.71474E+24
1404	,	2.28894E+19
1405	,	7.40031E+19
1406	,	1.29774E+25
1407	,	1.6798E+25
1408	,	5.21956E+24
1409	,	2.57277E+21
1410	,	1.44291E+25
1411	,	1.23867E+24
1412	,	1.16872E+25
1413	,	4.38757E+24
1414	,	3.31252E+24
1415	,	1.49773E+25
1416	,	1.87526E+25
1417	,	1.66334E+26
1418	,	2.58925E+24
1419	,	1.30978E+24
1420	,	2.53592E+26
1421	,	8.41152E+25
1422	,	9.70148E+25
1423	,	1.52763E+25
1424	,	5.90767E+25
1425	,	6.54805E+25
1426	,	3.3121E+26
1427	,	6.60022E+25
1428	,	1.21782E+26
1429	,	1.85668E+26
1430	,	1.99428E+26
1431	,	3.55346E+26
1432	,	3.27579E+25
1433	,	2.73173E+26
1434	,	4.43138E+26
1435	,	3.61382E+26
1436	,	1.81537E+25
1437	,	2.58079E+26
1438	,	1.51493E+26
1439	,	1.54486E+26
1440	,	2.77401E+26
1441	,	2.16148E+26
1442	,	9.62129E+25
1443	,	3.69193E+26
1444	,	2.86867E+26
1445	,	2.30523E+26
1446	,	2.63327E+26
1447	,	3.2739E+26
1448	,	4.4893E+26
1449	,	3.62009E+26
1450	,	1.68036E+26
1451	,	2.63512E+26
1452	,	8.44986E+26
1453	,	7.43518E+26
1454	,	1.99867E+26
1455	,	8.24838E+25
1456	,	4.558E+26
1457	,	5.9938E+26
1458	,	1.00941E+27
1459	,	4.84556E+26
1460	,	6.48227E+26
1461	,	8.57567E+26
1462	,	9.97514E+26
1463	,	1.19637E+27
1464	,	6.2724E+26
1465	,	6.63683E+26
1466	,	9.63477E+26
1467	,	3.17944E+26
1468	,	1.11946E+27
1469	,	6.88347E+26
1470	,	4.80844E+26
1471	,	2.66416E+26
1472	,	5.67904E+26
1473	,	7.00572E+26
1474	,	3.67533E+26
1475	,	1.31721E+26
1476	,	3.46558E+26
1477	,	5.20191E+26
1478	,	7.21495E+26
1479	,	1.37273E+27
1480	,	5.10855E+26
1481	,	5.17888E+26
1482	,	4.7214E+26
1483	,	8.92837E+26
1484	,	4.51187E+26
1485	,	8.56792E+26
1486	,	4.36141E+26
1487	,	1.1116E+27
1488	,	1.02277E+27
1489	,	9.33811E+26
1490	,	9.19489E+26
1491	,	4.53321E+26
1492	,	7.05142E+26
1493	,	1.42322E+27
1494	,	1.31174E+27
1495	,	1.48513E+27
1496	,	1.23094E+27
1497	,	1.36695E+27
1498	,	1.53322E+27
1499	,	1.37631E+27
1500	,	1.27186E+27
1501	,	1.72457E+27
1502	,	1.43182E+27
1503	,	1.64392E+27
1504	,	1.89403E+27
1505	,	2.00856E+27
1506	,	1.76811E+27
1507	,	1.39879E+27
1508	,	1.21057E+27
1509	,	1.39308E+27
1510	,	1.95464E+27
1511	,	1.9332E+27
1512	,	1.84345E+27
1513	,	1.41956E+27
1514	,	2.05859E+27
1515	,	2.01434E+27
1516	,	1.98525E+27
1517	,	1.84195E+27
1518	,	1.7213E+27
1519	,	2.0273E+27
1520	,	1.96E+27
1521	,	1.90024E+27
1522	,	1.9244E+27
1523	,	1.86453E+27
1524	,	2.02634E+27
1525	,	2.10419E+27
1526	,	2.02135E+27
1527	,	2.14526E+27
1528	,	2.10834E+27
1529	,	1.98697E+27
1530	,	2.04969E+27
1531	,	2.01263E+27
1532	,	2.14462E+27
1533	,	2.09218E+27
1534	,	1.9627E+27
1535	,	2.07951E+27
1536	,	2.14253E+27
1537	,	2.13621E+27
1538	,	2.07587E+27
1539	,	2.06178E+27
1540	,	2.12494E+27
1541	,	2.11086E+27
1542	,	2.1045E+27
1543	,	2.11361E+27
1544	,	2.053E+27
1545	,	2.08534E+27
1546	,	2.0867E+27
1547	,	2.11134E+27
1548	,	2.11271E+27
1549	,	2.15294E+27
1550	,	2.13877E+27
1551	,	2.12459E+27
1552	,	2.07924E+27
1553	,	2.12734E+27
1554	,	2.10532E+27
1555	,	2.11448E+27
1556	,	2.12365E+27
1557	,	2.11721E+27
1558	,	2.07167E+27
1559	,	2.09647E+27
1560	,	2.05868E+27
1561	,	2.12266E+27
1562	,	2.10051E+27
1563	,	2.10186E+27
1564	,	2.08751E+27
1565	,	2.12026E+27
1566	,	2.1059E+27
1567	,	2.09939E+27
1568	,	2.06926E+27
1569	,	2.10208E+27
1570	,	2.06403E+27
1571	,	2.07323E+27
1572	,	2.02722E+27
1573	,	2.01273E+27
1574	,	1.91134E+27
1575	,	1.85723E+27
1576	,	1.88214E+27
1577	,	1.85169E+27
1578	,	1.90829E+27
1579	,	1.90158E+27
1580	,	1.95828E+27
1581	,	1.71359E+27
1582	,	1.86551E+27
1583	,	1.88258E+27
1584	,	1.94736E+27
1585	,	1.9804E+27
1586	,	1.92595E+27
1587	,	1.97495E+27
1588	,	1.98416E+27
1589	,	2.06515E+27
1590	,	2.04252E+27
1591	,	2.01985E+27
1592	,	2.00515E+27
1593	,	1.85453E+27
1594	,	1.93569E+27
1595	,	1.9369E+27
1596	,	2.01821E+27
1597	,	2.06756E+27
1598	,	2.05282E+27
1599	,	2.07016E+27
1600	,	1.96708E+27
1601	,	1.98438E+27
1602	,	2.04189E+27
1603	,	1.94664E+27
1604	,	1.91567E+27
1605	,	1.79605E+27
1606	,	1.80523E+27
1607	,	1.80636E+27
1608	,	1.83976E+27
1609	,	1.91358E+27
1610	,	1.94709E+27
1611	,	1.88363E+27
1612	,	1.86053E+27
1613	,	1.8374E+27
1614	,	1.76565E+27
1615	,	1.83969E+27
1616	,	1.87327E+27
1617	,	1.92312E+27
1618	,	1.93243E+27
1619	,	1.958E+27
1620	,	1.87792E+27
1621	,	1.91162E+27
1622	,	1.98605E+27
1623	,	1.96285E+27
1624	,	1.90701E+27
1625	,	1.90819E+27
1626	,	1.94201E+27
1627	,	1.97586E+27
1628	,	1.98525E+27
1629	,	1.9456E+27
1630	,	1.96315E+27
1631	,	1.97255E+27
1632	,	1.97376E+27
1633	,	1.97497E+27
1634	,	1.94338E+27
1635	,	1.95278E+27
1636	,	1.95398E+27
1637	,	1.9141E+27
1638	,	1.91527E+27
1639	,	1.92467E+27
1640	,	1.93408E+27
1641	,	1.86938E+27
1642	,	1.81284E+27
1643	,	1.81395E+27
1644	,	1.7738E+27
1645	,	1.81616E+27
1646	,	1.82553E+27
1647	,	1.77705E+27
1648	,	1.85256E+27
1649	,	1.80404E+27
1650	,	1.79685E+27
1651	,	1.88908E+27
1652	,	1.79904E+27
1653	,	1.81672E+27
1654	,	1.86762E+27
1655	,	1.73587E+27
1656	,	1.86158E+27
1657	,	1.85439E+27
1658	,	1.79726E+27
1659	,	1.84831E+27
1660	,	1.84109E+27
1661	,	1.85054E+27
1662	,	1.87668E+27
1663	,	1.84443E+27
1664	,	1.86224E+27
1665	,	1.87172E+27
1666	,	1.83104E+27
1667	,	1.85724E+27
1668	,	1.84999E+27
1669	,	1.77571E+27
1670	,	1.50021E+27
1671	,	1.76946E+27
1672	,	1.80409E+27
1673	,	1.80517E+27
1674	,	1.86506E+27
1675	,	1.84096E+27
1676	,	1.77477E+27
1677	,	1.81791E+27
1678	,	1.819E+27
1679	,	1.80323E+27
1680	,	1.77901E+27
1681	,	1.78851E+27
1682	,	1.76425E+27
1683	,	1.79909E+27
1684	,	1.741E+27
1685	,	1.64056E+27
1686	,	1.72615E+27
1687	,	1.76951E+27
1688	,	1.67737E+27
1689	,	1.80552E+27
1690	,	1.78115E+27
1691	,	1.73977E+27
1692	,	1.78326E+27
1693	,	1.75883E+27
1694	,	1.74286E+27
1695	,	1.64181E+27
1696	,	1.76195E+27
1697	,	1.79706E+27
1698	,	1.74699E+27
1699	,	1.79065E+27
1700	,	1.78318E+27
1702	,	1.54519E+27
1705	,	1.7682E+27
1710	,	1.76069E+27
1715	,	1.71042E+27
1720	,	1.74668E+27
1725	,	1.69829E+27
1730	,	1.61725E+27
1735	,	1.63923E+27
1740	,	1.61805E+27
1745	,	1.54466E+27
1750	,	1.51432E+27
1755	,	1.41396E+27
1760	,	1.47055E+27
1765	,	1.36066E+27
1770	,	1.4614E+27
1775	,	1.3508E+27
1780	,	1.41663E+27
1785	,	1.18092E+27
1790	,	1.2644E+27
1795	,	1.02688E+27
1800	,	9.04407E+26
1805	,	6.91435E+26
1810	,	8.0053E+26
1815	,	4.23506E+26
1820	,	2.87953E+26
1825	,	1.34388E+26
1830	,	8.82318E+25
1835	,	2.99484E+25
1840	,	9.04588E+24
1845	,	1.16598E+25
1850	,	4.78715E+22
1855	,	5.92644E+22
1860	,	5.80374E+20
1865	,	5.81951E+22
1870	,	2.792E+22
1875	,	2.65024E+21
1880	,	1.04798E+23
1885	,	1.59496E+23
1890	,	2.51175E+18
1895	,	4.25403E+18
1900	,	7.32963E+23
1905	,	4.16293E+23
1910	,	2.12026E+24
1915	,	1.22976E+24
1920	,	8.23917E+21
1925	,	5.43376E+21
1930	,	2.20996E+23
1935	,	1.9171E+23
1940	,	4.35613E+24
1945	,	9.0642E+24
1950	,	5.35944E+24
1955	,	3.49461E+25
1960	,	3.20109E+25
1965	,	1.06652E+26
1970	,	1.63823E+26
1975	,	9.83489E+25
1980	,	2.15935E+26
1985	,	2.82717E+26
1990	,	4.83625E+26
1995	,	6.74621E+26
2000	,	7.52029E+26
2005	,	8.29821E+26
2010	,	8.56938E+26
2015	,	8.14933E+26
2020	,	3.8434E+26
2025	,	1.51296E+26
2030	,	4.01429E+26
2035	,	2.69637E+26
2040	,	4.57285E+26
2045	,	7.5384E+26
2050	,	8.67015E+26
2055	,	9.8688E+26
2060	,	9.21572E+26
2065	,	9.37205E+26
2070	,	7.00239E+26
2075	,	5.67554E+26
2080	,	7.17127E+26
2085	,	6.43033E+26
2090	,	6.84161E+26
2095	,	8.07945E+26
2100	,	9.08251E+26
2105	,	8.92603E+26
2110	,	9.368E+26
2115	,	9.45364E+26
2120	,	9.09589E+26
2125	,	9.8694E+26
2130	,	9.52133E+26
2135	,	9.75669E+26
2140	,	9.34249E+26
2145	,	9.47143E+26
2150	,	9.62229E+26
2155	,	9.66636E+26
2160	,	9.77513E+26
2165	,	9.65769E+26
2170	,	9.15022E+26
2175	,	9.19318E+26
2180	,	9.14931E+26
2185	,	8.31008E+26
2190	,	8.95151E+26
2195	,	8.79707E+26
2200	,	8.97083E+26
2205	,	8.19998E+26
2210	,	8.71452E+26
2215	,	8.72337E+26
2220	,	7.87998E+26
2225	,	8.20849E+26
2230	,	8.81634E+26
2235	,	8.502E+26
2240	,	8.67754E+26
2245	,	8.45084E+26
2250	,	8.50348E+26
2255	,	8.3539E+26
2260	,	8.23736E+26
2265	,	7.99599E+26
2270	,	8.13831E+26
2275	,	7.67994E+26
2280	,	7.60602E+26
2285	,	7.75958E+26
2290	,	7.41128E+26
2295	,	7.3246E+26
2300	,	7.60451E+26
2305	,	7.25334E+26
2310	,	7.28074E+26
2315	,	7.07727E+26
2320	,	6.80343E+26
2325	,	6.8646E+26
2330	,	7.42567E+26
2335	,	6.76628E+26
2340	,	6.06896E+26
2345	,	6.57328E+26
2350	,	6.65774E+26
2355	,	6.81299E+26
2360	,	5.39143E+26
2365	,	6.06357E+26
2370	,	4.90613E+26
2375	,	5.62739E+26
2380	,	5.95989E+26
2385	,	5.87734E+26
2390	,	3.67216E+26
2395	,	5.26896E+26
2400	,	5.10046E+26
2405	,	3.6954E+26
2410	,	4.46061E+26
2415	,	4.89164E+26
2420	,	5.3365E+26
2425	,	4.06515E+26
2430	,	4.09785E+26
2435	,	3.31667E+26
2440	,	3.23832E+26
2445	,	4.03796E+26
2450	,	5.51322E+26
2455	,	1.82519E+26
2460	,	5.30269E+26
2465	,	2.55838E+26
2470	,	1.67621E+26
2475	,	3.0752E+26
2480	,	4.13337E+26
2485	,	2.98852E+26
2490	,	2.07509E+26
2495	,	2.05439E+26
2500	,	1.00307E+26
2505	,	7.01313E+25
2510	,	4.39672E+25
2515	,	3.61481E+25
2520	,	8.87907E+25
2525	,	1.91546E+25
2530	,	2.80317E+25
2535	,	6.56641E+24
2540	,	4.70324E+24
2545	,	5.25877E+23
2550	,	8.09469E+21
2555	,	2.23171E+21
2560	,	4.81723E+21
2565	,	6.88799E+17
2570	,	3.61753E+15
2575	,	1.33674E+19
2580	,	3.99231E+17
2585	,	2.06457E+14
2590	,	19780955685
2595	,	13.99019297
2600	,	4957991.578
2605	,	2.23672E-06
2610	,	0.007140079
2615	,	2.97642E-05
2620	,	5.872762052
2625	,	7.61389E-07
2630	,	7.79919E-06
2635	,	1.47337E-09
2640	,	0.744684741
2645	,	5.110495246
2650	,	3.70456E-17
2655	,	5.16973E+12
2660	,	1.56714E+12
2665	,	11975424075
2670	,	1906358729
2675	,	17.49679635
2680	,	3492.567914
2685	,	1.48814E-09
2690	,	0
2695	,	0
2700	,	0
2705	,	0
2710	,	0.138030534
2715	,	9.66654E-05
2720	,	0
2725	,	3.9871E-14
2730	,	1.54053E-07
2735	,	527.2054055
2740	,	7.67634E-17
2745	,	9993480.072
2750	,	8336313795
2755	,	75535723.09
2760	,	32.11657315
2765	,	180899.0809
2770	,	2.29648439
2775	,	9.32737E-16
2780	,	0
2785	,	37.27800356
2790	,	116774.0932
2795	,	5.584E-10
2800	,	6.72686E-06
2805	,	54.5001273
2810	,	1.71233E+12
2815	,	5.08995E+12
2820	,	2.32415E+16
2825	,	9.52488E+14
2830	,	5.6827E+18
2835	,	4.06427E+18
2840	,	2.90821E+17
2845	,	2.50123E+21
2850	,	5.55231E+22
2855	,	3.03777E+18
2860	,	2.80025E+21
2865	,	5.81073E+23
2870	,	1.66313E+22
2875	,	6.44874E+21
2880	,	3.65445E+23
2885	,	2.42134E+24
2890	,	9.11033E+22
2895	,	5.66952E+24
2900	,	3.57859E+24
2905	,	6.57456E+24
2910	,	2.70417E+24
2915	,	3.87394E+25
2920	,	1.18461E+25
2925	,	1.62215E+24
2930	,	3.98185E+25
2935	,	1.8477E+25
2940	,	4.24525E+25
2945	,	1.58918E+25
2950	,	8.68172E+25
2955	,	9.58243E+25
2960	,	2.41078E+25
2965	,	2.14821E+25
2970	,	7.76151E+25
2975	,	3.47853E+25
2980	,	6.84971E+25
2985	,	1.10974E+26
2990	,	5.25923E+24
2995	,	1.27811E+25
3000	,	2.00883E+25
3005	,	1.04514E+26
3010	,	1.54928E+26
3015	,	6.44857E+25
3020	,	1.18471E+26
3025	,	4.36883E+25
3030	,	1.03724E+26
3035	,	8.43305E+25
3040	,	9.63205E+24
3045	,	1.14133E+26
3050	,	9.26764E+25
3055	,	3.81699E+25
3060	,	3.08921E+25
3065	,	6.449E+25
3070	,	1.58037E+25
3075	,	4.44152E+24
3080	,	9.69806E+25
3085	,	4.4869E+25
3090	,	2.70271E+25
3095	,	9.31246E+25
3100	,	5.60896E+25
3105	,	2.74695E+25
3110	,	3.69963E+25
3115	,	1.01982E+25
3120	,	6.86178E+25
3125	,	1.44017E+25
3130	,	1.32359E+25
3135	,	3.55719E+25
3140	,	1.54131E+26
3145	,	4.76338E+25
3150	,	9.06963E+25
3155	,	1.7979E+26
3160	,	5.24434E+25
3165	,	5.14194E+25
3170	,	1.05696E+26
3175	,	8.95161E+25
3180	,	1.46727E+26
3185	,	2.22907E+26
3190	,	1.99339E+26
3195	,	1.47424E+26
3200	,	1.69573E+26
3205	,	1.29462E+26
3210	,	6.80423E+25
3215	,	4.3236E+25
3220	,	7.05094E+24
3225	,	4.99819E+24
3230	,	2.19617E+24
3235	,	8.0544E+24
3240	,	2.60798E+25
3245	,	3.22854E+24
3250	,	5.54089E+24
3255	,	1.18638E+26
3260	,	6.11222E+25
3265	,	1.19821E+25
3270	,	4.26724E+25
3275	,	1.62765E+26
3280	,	2.00078E+25
3285	,	4.02413E+25
3290	,	2.00692E+25
3295	,	9.76987E+25
3300	,	4.71914E+25
3305	,	1.83435E+26
3310	,	1.44985E+26
3315	,	2.02226E+25
3320	,	2.95499E+25
3325	,	6.55074E+25
3330	,	6.52735E+25
3335	,	2.68492E+23
3340	,	1.0021E+24
3345	,	5.88785E+25
3350	,	7.80644E+25
3355	,	1.52169E+26
3360	,	5.8136E+25
3365	,	5.95692E+25
3370	,	1.35327E+26
3375	,	6.12663E+25
3380	,	8.85714E+25
3385	,	1.21713E+26
3390	,	6.67958E+25
3395	,	1.43637E+26
3400	,	8.68881E+25
3405	,	1.27545E+26
3410	,	1.68151E+26
3415	,	1.63104E+26
3420	,	2.13802E+26
3425	,	7.63967E+25
3430	,	1.21454E+26
3435	,	1.25068E+26
3440	,	2.27103E+26
3445	,	1.72299E+26
3450	,	1.49947E+26
3455	,	2.00451E+26
3460	,	1.38962E+26
3465	,	1.95835E+26
3470	,	1.94384E+26
3475	,	1.44435E+26
3480	,	2.17575E+26
3485	,	1.71174E+26
3490	,	2.14712E+26
3495	,	1.90548E+26
3500	,	1.96074E+26
3505	,	2.12134E+26
3510	,	1.82592E+26
3515	,	2.16259E+26
3520	,	2.09526E+26
3525	,	2.08062E+26
3530	,	2.1189E+26
3535	,	2.03351E+26
3540	,	2.14265E+26
3545	,	2.02156E+26
3550	,	1.97115E+26
3555	,	1.6823E+26
3560	,	1.6081E+26
3565	,	1.70133E+26
3570	,	1.87517E+26
3575	,	1.62028E+26
3580	,	1.93418E+26
3585	,	1.95483E+26
3590	,	1.49781E+26
3595	,	1.55386E+26
3600	,	1.83699E+26
3605	,	1.65379E+26
3610	,	1.70667E+26
3615	,	1.74883E+26
3620	,	1.86536E+26
3625	,	1.88609E+26
3630	,	1.72162E+26
3635	,	1.72219E+26
3640	,	2.11246E+26
3645	,	1.86008E+26
3650	,	1.81882E+26
3655	,	1.88349E+26
3660	,	2.10582E+26
3665	,	1.94369E+26
3670	,	1.85454E+26
3675	,	2.02257E+26
3680	,	2.00692E+26
3685	,	1.89904E+26
3690	,	1.45853E+26
3695	,	8.9295E+25
3700	,	1.54211E+26
3705	,	1.74998E+26
3710	,	1.79876E+26
3715	,	1.87741E+26
3720	,	2.02885E+26
3725	,	2.01296E+26
3730	,	1.74692E+26
3735	,	1.72498E+26
3740	,	1.94625E+26
3745	,	2.00508E+26
3750	,	1.73945E+26
3755	,	1.61213E+26
3760	,	1.66509E+26
3765	,	1.94049E+26
3770	,	1.75255E+26
3775	,	1.69821E+26
3780	,	1.67589E+26
3785	,	1.6194E+26
3790	,	1.72965E+26
3795	,	1.71865E+26
3800	,	1.81981E+26
3805	,	1.67751E+26
3810	,	1.47953E+26
3815	,	1.69339E+26
3820	,	1.88488E+26
3825	,	1.78017E+26
3830	,	1.58125E+26
3835	,	1.48929E+26
3840	,	1.85636E+26
3845	,	1.82993E+26
3850	,	1.84774E+26
3855	,	1.48359E+26
3860	,	1.73472E+26
3865	,	1.6983E+26
3870	,	1.71019E+26
3875	,	1.65035E+26
3880	,	1.55152E+26
3885	,	1.57492E+26
3890	,	1.43289E+26
3895	,	1.31777E+26
3900	,	1.27458E+26
3905	,	1.32313E+26
3910	,	1.34636E+26
3915	,	1.46566E+26
3920	,	1.55582E+26
3925	,	1.55782E+26
3930	,	1.40442E+26
3935	,	1.37668E+26
3940	,	1.37055E+26
3945	,	1.35E+26
3950	,	1.39381E+26
3955	,	1.45497E+26
3960	,	1.46673E+26
3965	,	1.49638E+26
3970	,	1.51616E+26
3975	,	1.53598E+26
3980	,	1.5439E+26
3985	,	1.55782E+26
3990	,	1.53382E+26
3995	,	1.50176E+26
4000	,	1.47962E+26
